time,ppg
1710812342044,2011629
1710812342083,2006563
1710812342124,2003854
1710812342164,2002360
1710812342204,2001978
1710812342245,2001712
1710812342284,2001302
1710812342324,2000057
1710812342364,1999227
1710812342404,1999309
1710812342445,2000032
1710812342484,2001251
1710812342525,2002831
1710812342565,2004520
1710812342605,2006350
1710812342646,2008239
1710812342685,2010162
1710812342725,2012146
1710812342765,2011382
1710812342805,2006681
1710812342846,2001418
1710812342886,1997900
1710812342926,1996288
1710812342966,1995894
1710812343006,1996322
1710812343047,1996714
1710812343086,1996571
1710812343127,1996019
1710812343167,1996081
1710812343207,1996778
1710812343248,1998068
1710812343287,1999730
1710812343327,2001651
1710812343367,2003736
1710812343407,2006087
1710812343448,2008203
1710812343488,2010415
1710812343528,2012715
1710812343568,2014027
1710812343608,2010970
1710812343649,2006503
1710812343688,2003477
1710812343728,2002323
1710812343768,2002208
1710812343809,2003391
1710812343850,2004496
1710812343889,2004947
1710812343929,2005025
1710812343969,2005324
1710812344009,2006291
1710812344050,2007807
1710812344089,2009657
1710812344129,2011843
1710812344169,2014288
1710812344209,2016516
1710812344250,2018908
1710812344289,2021284
1710812344330,2023687
1710812344370,2026108
1710812344410,2025304
1710812344451,2021761
1710812344490,2018533
1710812344530,2017135
1710812344570,2017369
1710812344610,2018656
1710812344651,2020259
1710812344691,2021379
1710812344730,2021822
1710812344771,2022323
1710812344811,2023047
1710812344852,2024359
1710812344891,2026124
1710812344931,2028195
1710812344971,2030251
1710812345011,2032645
1710812345052,2034921
1710812345091,2037057
1710812345131,2039437
1710812345172,2041502
1710812345212,2040737
1710812345252,2037743
1710812345292,2035274
1710812345332,2034257
1710812345372,2034665
1710812345412,2036303
1710812345453,2038131
1710812345493,2039557
1710812345533,2040174
1710812345573,2040678
1710812345613,2041530
1710812345654,2042802
1710812345693,2044468
1710812345733,2046394
1710812345773,2048407
1710812345813,2050587
1710812345854,2052647
1710812345894,2054791
1710812345934,2056993
1710812345974,2057082
1710812346014,2054631
1710812346054,2051970
1710812346094,2050723
1710812346134,2050973
1710812346174,2052301
1710812346214,2054142
1710812346255,2055585
1710812346295,2056332
1710812346335,2056979
1710812346375,2057553
1710812346415,2058601
1710812346456,2060062
1710812346495,2061761
1710812346535,2063833
1710812346575,2065492
1710812346616,2067503
1710812346656,2069578
1710812346696,2071321
1710812346736,2070355
1710812346776,2066995
1710812346816,2064057
1710812346857,2062427
1710812346896,2062326
1710812346936,2063403
1710812346977,2064772
1710812347016,2065733
1710812347057,2065949
1710812347097,2065911
1710812347137,2066213
1710812347177,2066928
1710812347217,2068019
1710812347258,2069342
1710812347297,2071145
1710812347338,2072640
1710812347378,2074288
1710812347418,2075973
1710812347459,2076875
1710812347498,2073845
1710812347538,2069461
1710812347578,2065898
1710812347618,2064185
1710812347659,2063592
1710812347699,2064209
1710812347739,2065090
1710812347779,2065185
1710812347819,2064767
1710812347860,2064282
1710812347899,2064189
1710812347939,2064621
1710812347979,2065460
1710812348020,2066774
1710812348060,2068084
1710812348100,2069418
1710812348140,2070949
1710812348180,2072339
1710812348220,2069890
1710812348261,2064760
1710812348300,2059748
1710812348340,2056533
1710812348381,2054940
1710812348421,2054510
1710812348462,2054976
1710812348501,2054956
1710812348541,2054209
1710812348581,2053250
1710812348621,2052565
1710812348662,2052651
1710812348702,2053197
1710812348744,2054156
1710812348782,2055475
1710812348822,2056747
1710812348863,2058171
1710812348902,2059594
1710812348942,2059997
1710812348983,2055516
1710812349023,2049261
1710812349063,2043922
1710812349103,2040826
1710812349143,2039191
1710812349183,2038804
1710812349223,2038826
1710812349264,2038373
1710812349303,2037133
1710812349344,2036058
1710812349384,2035519
1710812349424,2035838
1710812349465,2036596
1710812349504,2037812
1710812349544,2039172
1710812349584,2040610
1710812349625,2042127
1710812349665,2043736
1710812349705,2045278
1710812349745,2045529
1710812349785,2040555
1710812349825,2033986
1710812349866,2028721
1710812349905,2025841
1710812349945,2024382
1710812349986,2024179
1710812350026,2024180
1710812350066,2023629
1710812350106,2022691
1710812350146,2021822
1710812350186,2021495
1710812350226,2021967
1710812350267,2023124
1710812350307,2024430
1710812350347,2026156
1710812350387,2027806
1710812350427,2029666
1710812350468,2031564
1710812350507,2033314
1710812350547,2036418
1710812350587,2032593
1710812350627,2026813
1710812350668,2022170
1710812350708,2019721
1710812350748,2018893
1710812350788,2018956
1710812350828,2019668
1710812350869,2019811
1710812350908,2019273
1710812350951,2018891
1710812350988,2019014
1710812351028,2019894
1710812351069,2021299
1710812351108,2023047
1710812351148,2024889
1710812351189,2027028
1710812351229,2028967
1710812351270,2031022
1710812351309,2033044
1710812351349,2035264
1710812351389,2037395
1710812351429,2037386
1710812351470,2033301
1710812351509,2028576
1710812351550,2025650
1710812351589,2024629
1710812351630,2024950
1710812351671,2026039
1710812351710,2027051
1710812351750,2027411
1710812351790,2027310
1710812351830,2027403
1710812351871,2028223
1710812351910,2029646
1710812351950,2031300
1710812351991,2033206
1710812352031,2035477
1710812352071,2037642
1710812352111,2039852
1710812352151,2042014
1710812352191,2044152
1710812352231,2046515
1710812352272,2048583
1710812352311,2047099
1710812352351,2043148
1710812352391,2039851
1710812352431,2038470
1710812352472,2038555
1710812352512,2039829
1710812352552,2041564
1710812352592,2042674
1710812352632,2043073
1710812352673,2043433
1710812352712,2043988
1710812352752,2045118
1710812352792,2046661
1710812352832,2048540
1710812352873,2050593
1710812352913,2052774
1710812352953,2055007
1710812352993,2057105
1710812353033,2059207
1710812353074,2061505
1710812353113,2063855
1710812353153,2064342
1710812353193,2061621
1710812353233,2058327
1710812353274,2056405
1710812353314,2056171
1710812353354,2057117
1710812353394,2058908
1710812353434,2060507
1710812353475,2061583
1710812353514,2061970
1710812353554,2062390
1710812353594,2063368
1710812353634,2064593
1710812353675,2066232
1710812353715,2068055
1710812353755,2070027
1710812353795,2072039
1710812353835,2074042
1710812353876,2076032
1710812353915,2077957
1710812353955,2080038
1710812353995,2079618
1710812354036,2076728
1710812354076,2074088
1710812354116,2072531
1710812354156,2072525
1710812354196,2073685
1710812354236,2075430
1710812354277,2076889
1710812354317,2077555
1710812354356,2077966
1710812354397,2078279
1710812354437,2079162
1710812354478,2080309
1710812354517,2081798
1710812354557,2083477
1710812354597,2085279
1710812354637,2087019
1710812354678,2088840
1710812354718,2090689
1710812354758,2091581
1710812354798,2089526
1710812354838,2086209
1710812354879,2083504
1710812354918,2082302
1710812354958,2082551
1710812354999,2083767
1710812355039,2085201
1710812355080,2086005
1710812355119,2086230
1710812355159,2086293
1710812355199,2086522
1710812355239,2087141
1710812355280,2088232
1710812355320,2089502
1710812355360,2091099
1710812355400,2092617
1710812355440,2094097
1710812355481,2095601
1710812355521,2095318
1710812355561,2091734
1710812355601,2087601
1710812355641,2084530
1710812355682,2083001
1710812355721,2082892
1710812355761,2083717
1710812355801,2084480
1710812355841,2084516
1710812355882,2083796
1710812355922,2083179
1710812355962,2082958
1710812356002,2083240
1710812356042,2083882
1710812356083,2084817
1710812356123,2085913
1710812356163,2087161
1710812356203,2088278
1710812356243,2088477
1710812356284,2084223
1710812356323,2078684
1710812356363,2073832
1710812356403,2071039
1710812356444,2069757
1710812356485,2069595
1710812356524,2069780
1710812356564,2069456
1710812356604,2068252
1710812356644,2066967
1710812356685,2066120
1710812356725,2065901
1710812356765,2066327
1710812356805,2067112
1710812356845,2068057
1710812356886,2069083
1710812356925,2070312
1710812356966,2070758
1710812357006,2066853
1710812357046,2060332
1710812357087,2054552
1710812357126,2050866
1710812357166,2048836
1710812357206,2048132
1710812357246,2048150
1710812357287,2047416
1710812357326,2046147
1710812357366,2044329
1710812357407,2043352
1710812357447,2043021
1710812357487,2043468
1710812357527,2044062
1710812357567,2045177
1710812357607,2046319
1710812357647,2047564
1710812357688,2048842
1710812357727,2047446
1710812357767,2041134
1710812357807,2034239
1710812357847,2029219
1710812357888,2026145
1710812357928,2024692
1710812357968,2024297
1710812358008,2024041
1710812358048,2023076
1710812358089,2021443
1710812358128,2020209
1710812358168,2019859
1710812358208,2020158
1710812358248,2021040
1710812358289,2021984
1710812358329,2023689
1710812358369,2025075
1710812358409,2026492
1710812358449,2028395
1710812358490,2029490
1710812358529,2025748
1710812358569,2018907
1710812358609,2012741
1710812358649,2008800
1710812358690,2006650
1710812358730,2005604
1710812358770,2005573
1710812358810,2005181
1710812358850,2004072
1710812358891,2003084
1710812358930,2002515
1710812358970,2002732
1710812359010,2003550
1710812359050,2004836
1710812359091,2006454
1710812359131,2008254
1710812359171,2010141
1710812359211,2011914
1710812359251,2013901
1710812359292,2015921
1710812359331,2017827
1710812359371,2015156
1710812359411,2009138
1710812359451,2003594
1710812359492,2000029
1710812359532,1998306
1710812359572,1997823
1710812359612,1998162
1710812359652,1998212
1710812359693,1997688
1710812359732,1997089
1710812359772,1996915
1710812359812,1997425
1710812359853,1998636
1710812359893,2000291
1710812359933,2002146
1710812359973,2004253
1710812360013,2006512
1710812360053,2008735
1710812360094,2010825
1710812360133,2013063
1710812360173,2015551
1710812360214,2017576
1710812360254,2015456
1710812360294,2010154
1710812360334,2005417
1710812360374,2002694
1710812360414,2001743
1710812360454,2001853
1710812360495,2002644
1710812360534,2003350
1710812360575,2003161
1710812360615,2002862
1710812360655,2003118
1710812360696,2004006
1710812360735,2005393
1710812360775,2007477
1710812360815,2009503
1710812360855,2011744
1710812360896,2013964
1710812360936,2016372
1710812360976,2018882
1710812361016,2021119
1710812361056,2023688
1710812361097,2026426
1710812361136,2027790
1710812361176,2024778
1710812361216,2020370
1710812361257,2017175
1710812361297,2015963
1710812361337,2015996
1710812361377,2017272
1710812361417,2018506
1710812361457,2019380
1710812361498,2019477
1710812361538,2019693
1710812361578,2020530
1710812361618,2021722
1710812361658,2023585
1710812361699,2025610
1710812361738,2027838
1710812361778,2030159
1710812361818,2032595
1710812361858,2034759
1710812361899,2037121
1710812361939,2039501
1710812361979,2041915
1710812362019,2044244
1710812362059,2043099
1710812362100,2039522
1710812362139,2036415
1710812362179,2034847
1710812362220,2035005
1710812362260,2036267
1710812362301,2038121
1710812362340,2039401
1710812362380,2040073
1710812362420,2040452
1710812362461,2041137
1710812362502,2042241
1710812362541,2043964
1710812362581,2045856
1710812362621,2048018
1710812362661,2050158
1710812362702,2052378
1710812362742,2054693
1710812362782,2056951
1710812362822,2058867
1710812362862,2061199
1710812362903,2063398
1710812362942,2063102
1710812362982,2060227
1710812363022,2057239
1710812363063,2055566
1710812363103,2055675
1710812363143,2056707
1710812363183,2058456
1710812363223,2060060
1710812363263,2060913
1710812363304,2061350
1710812363344,2061810
1710812363384,2062521
1710812363424,2063943
1710812363464,2065630
1710812363505,2067539
1710812363544,2069412
1710812363584,2071447
1710812363625,2075307
1710812363665,2077337
1710812363705,2079227
1710812363745,2078654
1710812363785,2076001
1710812363825,2073284
1710812363865,2071841
1710812363906,2071936
1710812363945,2073104
1710812363985,2074825
1710812364025,2076411
1710812364065,2077258
1710812364106,2077698
1710812364145,2078142
1710812364186,2078975
1710812364226,2080184
1710812364266,2081630
1710812364307,2083454
1710812364346,2085171
1710812364386,2086901
1710812364426,2088796
1710812364466,2090663
1710812364507,2091250
1710812364547,2088653
1710812364586,2085330
1710812364627,2082825
1710812364667,2081830
1710812364707,2082137
1710812364747,2083497
1710812364787,2084854
1710812364827,2085593
1710812364867,2085763
1710812364908,2085716
1710812364947,2086010
1710812364987,2086561
1710812365028,2087501
1710812365068,2089010
1710812365108,2090340
1710812365148,2091853
1710812365188,2093317
1710812365228,2094628
1710812365268,2092464
1710812365309,2088126
1710812365348,2083834
1710812365389,2081208
1710812365429,2080123
1710812365469,2080350
1710812365510,2081140
1710812365549,2081715
1710812365589,2081416
1710812365629,2080529
1710812365669,2080086
1710812365710,2080027
1710812365750,2080381
1710812365790,2081181
1710812365830,2082273
1710812365870,2083291
1710812365911,2084590
1710812365950,2085798
1710812365990,2083123
1710812366030,2077624
1710812366070,2071824
1710812366111,2067941
1710812366151,2065882
1710812366191,2065383
1710812366231,2065533
1710812366271,2065548
1710812366312,2064733
1710812366351,2063306
1710812366391,2062088
1710812366431,2061526
1710812366472,2061649
1710812366512,2062285
1710812366552,2063221
1710812366592,2064064
1710812366632,2065233
1710812366672,2066281
1710812366713,2063996
1710812366752,2057643
1710812366793,2050770
1710812366833,2045822
1710812366873,2043009
1710812366914,2041857
1710812366953,2041570
1710812366993,2041453
1710812367033,2040303
1710812367073,2038646
1710812367114,2037111
1710812367153,2036649
1710812367194,2036756
1710812367234,2037400
1710812367274,2038417
1710812367315,2039733
1710812367354,2041025
1710812367394,2042283
1710812367434,2043581
1710812367474,2041041
1710812367515,2033983
1710812367555,2026411
1710812367595,2021098
1710812367635,2017995
1710812367675,2016077
1710812367716,2015615
1710812367755,2015296
1710812367795,2013817
1710812367836,2012163
1710812367876,2010654
1710812367917,2010196
1710812367956,2010369
1710812367996,2011229
1710812368036,2012416
1710812368076,2013868
1710812368117,2015444
1710812368156,2016980
1710812368196,2018708
1710812368237,2020427
1710812368277,2019344
1710812368317,2013104
1710812368357,2005837
1710812368397,2000498
1710812368437,1997500
1710812368477,1996138
1710812368518,1995754
1710812368557,1995689
1710812368598,1995197
1710812368638,1993786
1710812368678,1992920
1710812368719,1992821
1710812368758,1993439
1710812368798,1994732
1710812368838,1996455
1710812368879,1998432
1710812368919,2000378
1710812368959,2002334
1710812368999,2004449
1710812369039,2006532
1710812369079,2008987
1710812369120,2009394
1710812369160,2004638
1710812369200,1998317
1710812369240,1993687
1710812369280,1991393
1710812369321,1990538
1710812369360,1990824
1710812369400,1991425
1710812369441,1991498
1710812369481,1990906
1710812369521,1990359
1710812369561,1990838
1710812369601,1991845
1710812369641,1993291
1710812369681,1995348
1710812369722,1997611
1710812369762,1999789
1710812369802,2002259
1710812369842,2004520
1710812369882,2006940
1710812369923,2009501
1710812369962,2011494
1710812370002,2008884
1710812370043,2003481
1710812370083,1998901
1710812370124,1996576
1710812370163,1995978
1710812370203,1996696
1710812370243,1997830
1710812370283,1998530
1710812370324,1998432
1710812370363,1998392
1710812370404,1998721
1710812370444,1999748
1710812370484,2001497
1710812370524,2003408
1710812370564,2005594
1710812370604,2008048
1710812370644,2010374
1710812370684,2012794
1710812370725,2015174
1710812370764,2017804
1710812370804,2019892
1710812370844,2017948
1710812370885,2013594
1710812370926,2009817
1710812370965,2008202
1710812371005,2008161
1710812371045,2009464
1710812371085,2011198
1710812371126,2012441
1710812371165,2013052
1710812371205,2013260
1710812371245,2013941
1710812371286,2015175
1710812371326,2017006
1710812371366,2019153
1710812371406,2021487
1710812371446,2023956
1710812371486,2026467
1710812371527,2028845
1710812371566,2031301
1710812371606,2034014
1710812371647,2035906
1710812371687,2034020
1710812371727,2030295
1710812371767,2027438
1710812371807,2026312
