time,ecg
1710812342013,-51
1710812342020,29
1710812342028,63
1710812342036,29
1710812342043,51
1710812342051,73
1710812342059,58
1710812342065,61
1710812342073,93
1710812342081,105
1710812342089,93
1710812342097,93
1710812342105,110
1710812342112,125
1710812342120,134
1710812342128,139
1710812342135,139
1710812342143,144
1710812342151,157
1710812342158,171
1710812342166,174
1710812342174,174
1710812342181,196
1710812342189,203
1710812342197,184
1710812342205,179
1710812342212,179
1710812342220,149
1710812342228,112
1710812342235,100
1710812342243,90
1710812342251,66
1710812342257,46
1710812342265,39
1710812342273,34
1710812342281,41
1710812342289,53
1710812342297,44
1710812342304,34
1710812342312,46
1710812342320,61
1710812342327,66
1710812342335,58
1710812342343,58
1710812342350,68
1710812342358,76
1710812342366,78
1710812342373,83
1710812342381,85
1710812342389,93
1710812342396,98
1710812342404,83
1710812342412,73
1710812342419,85
1710812342427,76
1710812342435,61
1710812342441,71
1710812342449,73
1710812342457,58
1710812342465,71
1710812342473,83
1710812342481,68
1710812342489,63
1710812342496,66
1710812342504,63
1710812342512,63
1710812342519,63
1710812342527,61
1710812342535,73
1710812342542,93
1710812342550,103
1710812342558,95
1710812342565,66
1710812342573,49
1710812342581,53
1710812342588,61
1710812342596,66
1710812342604,66
1710812342611,56
1710812342619,56
1710812342627,73
1710812342633,117
1710812342641,240
1710812342649,500
1710812342657,738
1710812342665,620
1710812342673,93
1710812342680,-345
1710812342688,-250
1710812342696,-17
1710812342703,-44
1710812342711,-44
1710812342719,49
1710812342726,41
1710812342734,9
1710812342742,29
1710812342750,41
1710812342757,39
1710812342765,44
1710812342773,56
1710812342780,63
1710812342788,68
1710812342796,76
1710812342803,85
1710812342811,100
1710812342819,112
1710812342825,122
1710812342833,137
1710812342841,152
1710812342849,159
1710812342857,176
1710812342865,196
1710812342872,201
1710812342880,191
1710812342888,184
1710812342895,179
1710812342903,176
1710812342911,157
1710812342918,122
1710812342926,100
1710812342934,76
1710812342941,41
1710812342949,14
1710812342957,12
1710812342964,9
1710812342972,-4
1710812342980,-12
1710812342987,-7
1710812342995,-2
1710812343003,-7
1710812343009,0
1710812343017,12
1710812343025,19
1710812343033,19
1710812343041,24
1710812343049,34
1710812343057,41
1710812343064,39
1710812343072,49
1710812343080,63
1710812343087,61
1710812343095,51
1710812343103,61
1710812343110,73
1710812343118,66
1710812343126,66
1710812343133,71
1710812343141,61
1710812343149,51
1710812343156,56
1710812343164,61
1710812343172,51
1710812343179,46
1710812343187,53
1710812343195,56
1710812343201,61
1710812343209,63
1710812343217,61
1710812343225,56
1710812343233,51
1710812343241,49
1710812343248,53
1710812343256,66
1710812343264,83
1710812343271,90
1710812343279,71
1710812343287,41
1710812343295,31
1710812343302,39
1710812343310,39
1710812343318,39
1710812343325,44
1710812343333,46
1710812343341,44
1710812343348,56
1710812343356,130
1710812343364,321
1710812343371,608
1710812343379,758
1710812343387,476
1710812343393,-127
1710812343401,-422
1710812343409,-198
1710812343417,-34
1710812343425,-71
1710812343433,-22
1710812343440,34
1710812343448,2
1710812343456,-4
1710812343463,26
1710812343471,31
1710812343479,26
1710812343486,36
1710812343494,46
1710812343502,51
1710812343509,58
1710812343517,66
1710812343525,76
1710812343533,90
1710812343540,103
