time,ppg
1710814950040,1508427
1710814950080,1506340
1710814950121,1505364
1710814950161,1504846
1710814950202,1504962
1710814950241,1505142
1710814950282,1504241
1710814950322,1502278
1710814950362,1500809
1710814950403,1500675
1710814950443,1501868
1710814950483,1505825
1710814950523,1512015
1710814950563,1517929
1710814950604,1521040
1710814950644,1519138
1710814950684,1513989
1710814950724,1511105
1710814950765,1510124
1710814950805,1510182
1710814950845,1511767
1710814950885,1514357
1710814950925,1517440
1710814950965,1519738
1710814951006,1519792
1710814951046,1520125
1710814951086,1519822
1710814951126,1518379
1710814951166,1516857
1710814951207,1515749
1710814951246,1514341
1710814951286,1512399
1710814951327,1509453
1710814951367,1505816
1710814951408,1503105
1710814951447,1501885
1710814951487,1501547
1710814951527,1501203
1710814951567,1500005
1710814951608,1497615
1710814951648,1495851
1710814951688,1495989
1710814951728,1500274
1710814951768,1505765
1710814951809,1506539
1710814951849,1505240
1710814951889,1504054
1710814951929,1505930
1710814951969,1507839
1710814952010,1505865
1710814952049,1495724
1710814952090,1494512
1710814952130,1496892
1710814952170,1499129
1710814952211,1501155
1710814952250,1503200
1710814952290,1505302
1710814952330,1506091
1710814952370,1505903
1710814952411,1505417
1710814952451,1504770
1710814952490,1503764
1710814952531,1502967
1710814952571,1502578
1710814952612,1502486
1710814952651,1501107
1710814952691,1497923
1710814952731,1493899
1710814952771,1490886
1710814952812,1489410
1710814952852,1489499
1710814952892,1491244
1710814952932,1497199
1710814952972,1503852
1710814953013,1506512
1710814953052,1503927
1710814953092,1501583
1710814953132,1501821
1710814953173,1503552
1710814953213,1504467
1710814953253,1504198
1710814953293,1504788
1710814953333,1505920
1710814953373,1506905
1710814953414,1507725
1710814953453,1508001
1710814953494,1509219
1710814953534,1509419
1710814953574,1508697
1710814953615,1508506
1710814953654,1507098
1710814953694,1505619
1710814953734,1504131
1710814953775,1503184
1710814953815,1502259
1710814953855,1501676
1710814953895,1501316
1710814953935,1501364
1710814953975,1501073
1710814954016,1498694
1710814954055,1494694
1710814954096,1491976
1710814954136,1491934
1710814954176,1494013
1710814954217,1498803
1710814954256,1505590
1710814954296,1512884
1710814954336,1511949
1710814954377,1510494
1710814954417,1511121
1710814954457,1512559
1710814954497,1513780
1710814954537,1514034
1710814954577,1514586
1710814954618,1516462
1710814954657,1518048
1710814954698,1517829
1710814954738,1515031
1710814954778,1512471
1710814954819,1510911
1710814954858,1509870
1710814954898,1508337
1710814954939,1507160
1710814955023,1506141
1710814955064,1505138
1710814955103,1504371
1710814955143,1504005
1710814955183,1503838
1710814955224,1504247
1710814955264,1505742
1710814955304,1507520
1710814955344,1508132
1710814955384,1507968
1710814955424,1507603
1710814955465,1506241
1710814955505,1506695
1710814955545,1508754
1710814955585,1510808
1710814955625,1506708
1710814955666,1506090
1710814955705,1508938
1710814955746,1513057
1710814955786,1514546
1710814955826,1513721
1710814955867,1513011
1710814955906,1513911
1710814955946,1514712
1710814955987,1514873
1710814956027,1513935
1710814956068,1514071
1710814956107,1516377
1710814956147,1517212
1710814956188,1513609
1710814956228,1509478
1710814956269,1506176
1710814956308,1503968
1710814956348,1503498
1710814956389,1504247
1710814956429,1504758
1710814956470,1505128
1710814956509,1505954
1710814956549,1507643
1710814956589,1508699
1710814956629,1507548
1710814956670,1506439
1710814956710,1506264
1710814956750,1508242
1710814956790,1515031
1710814956831,1521779
1710814956871,1524796
1710814956911,1518841
1710814956951,1515212
1710814956991,1515453
1710814957031,1517334
