time,ecg
1710814950007,-41
1710814950014,-53
1710814950022,-53
1710814950030,-12
1710814950037,112
1710814950045,358
1710814950053,598
1710814950060,520
1710814950068,-34
1710814950076,-544
1710814950084,-444
1710814950091,-164
1710814950099,-169
1710814950107,-174
1710814950113,-95
1710814950121,-98
1710814950129,-112
1710814950137,-85
1710814950145,-83
1710814950153,-90
1710814950160,-85
1710814950168,-95
1710814950176,-95
1710814950183,-53
1710814950191,-39
1710814950199,-66
1710814950206,-61
1710814950214,-34
1710814950222,-22
1710814950229,-12
1710814950237,0
1710814950245,22
1710814950252,39
1710814950260,53
1710814950268,80
1710814950275,103
1710814950283,107
1710814950291,107
1710814950297,105
1710814950305,80
1710814950313,49
1710814950321,26
1710814950329,2
1710814950337,-36
1710814950344,-63
1710814950352,-76
1710814950360,-85
1710814950368,-105
1710814950375,-117
1710814950383,-120
1710814950391,-125
1710814950398,-137
1710814950406,-132
1710814950414,-120
1710814950421,-120
1710814950429,-110
1710814950437,-83
1710814950444,-58
1710814950452,-46
1710814950460,-29
1710814950467,-14
1710814950475,-7
1710814950483,0
1710814950489,17
1710814950497,44
1710814950505,51
1710814950513,24
1710814950521,14
1710814950529,19
1710814950536,4
1710814950544,7
1710814950552,29
1710814950559,36
1710814950567,24
1710814950575,12
1710814950582,4
1710814950590,17
1710814950598,29
1710814950605,17
1710814950613,4
1710814950621,14
1710814950628,26
1710814950636,24
1710814950644,26
1710814950651,39
1710814950659,56
1710814950667,63
1710814950675,36
1710814950681,7
1710814950689,9
1710814950697,0
1710814950705,-7
1710814950713,12
1710814950721,7
1710814950728,-12
1710814950736,14
1710814950744,88
1710814950751,260
1710814950759,542
1710814950767,709
1710814950774,453
1710814950782,-149
1710814950790,-446
1710814950797,-218
1710814950805,-53
1710814950813,-85
1710814950820,-22
1710814950828,46
1710814950836,14
1710814950843,-7
1710814950851,7
1710814950859,29
1710814950865,36
1710814950873,44
1710814950881,53
1710814950889,66
1710814950897,68
1710814950905,53
1710814950912,63
1710814950920,105
1710814950928,115
1710814950935,115
1710814950943,139
1710814950951,169
1710814950959,181
1710814950966,181
1710814950974,186
1710814950982,203
1710814950989,201
1710814950997,196
1710814951005,211
1710814951012,198
1710814951020,186
1710814951028,193
1710814951035,161
1710814951043,110
1710814951051,88
1710814951057,88
1710814951065,80
1710814951073,71
1710814951081,66
1710814951089,58
1710814951097,46
1710814951104,53
1710814951112,68
1710814951120,73
1710814951127,71
1710814951135,66
1710814951143,66
1710814951150,71
1710814951158,76
1710814951166,78
1710814951173,83
1710814951181,88
1710814951189,90
1710814951196,90
1710814951204,83
1710814951212,73
1710814951219,76
1710814951227,80
1710814951235,78
1710814951241,71
1710814951249,61
1710814951257,58
1710814951265,71
1710814951273,71
1710814951281,63
1710814951289,63
1710814951296,63
1710814951304,51
1710814951312,51
1710814951319,63
1710814951327,68
1710814951335,56
1710814951342,51
1710814951350,63
1710814951358,76
1710814951365,90
1710814951373,103
1710814951381,90
1710814951388,61
1710814951396,46
1710814951404,51
1710814951411,53
1710814951419,61
1710814951427,71
1710814951433,85
1710814951441,95
1710814951449,112
1710814951457,238
1710814951465,520
1710814951473,733
1710814951480,539
1710814951488,-49
1710814951496,-429
1710814951503,-238
1710814951511,-7
1710814951519,-36
1710814951526,-26
1710814951534,41
1710814951542,26
1710814951549,2
1710814951557,34
1710814951565,58
1710814951573,51
1710814951580,56
1710814951588,71
1710814951596,71
1710814951603,78
1710814951611,90
1710814951619,88
1710814951625,83
1710814951633,88
1710814951641,98
1710814951649,117
1710814951657,127
1710814951665,130
1710814951672,144
1710814951680,147
1710814951688,152
1710814951695,171
1710814951703,176
1710814951711,171
1710814951718,159
1710814951726,125
1710814951734,95
1710814951741,76
1710814951749,39
1710814951757,7
1710814951764,-4
1710814951772,-9
1710814951780,-17
1710814951787,-26
1710814951795,-36
1710814951803,-36
1710814951809,-29
1710814951817,-24
1710814951825,-19
1710814951833,-19
1710814951841,-14
1710814951849,-9
1710814951857,-14
1710814951864,-19
1710814951872,0
1710814951880,19
1710814951887,12
1710814951895,2
1710814951903,2
1710814951910,-2
1710814951918,-7
1710814951926,-2
1710814951933,4
1710814951941,4
1710814951949,0
1710814951956,4
1710814951964,12
1710814951972,4
1710814951979,-4
1710814951987,4
1710814951995,7
1710814952001,-9
1710814952009,-9
1710814952017,12
1710814952025,17
1710814952033,7
1710814952041,7
1710814952048,26
1710814952056,51
1710814952064,63
1710814952071,66
1710814952079,66
1710814952087,61
1710814952094,56
1710814952102,46
1710814952110,46
1710814952117,51
1710814952125,41
1710814952133,44
1710814952140,63
1710814952148,46
1710814952156,34
1710814952164,71
1710814952171,191
1710814952179,441
1710814952187,696
1710814952193,603
1710814952201,14
1710814952209,-488
1710814952217,-365
1710814952225,-95
1710814952233,-90
1710814952240,-76
1710814952248,4
1710814952256,2
1710814952263,-7
1710814952271,39
1710814952279,63
1710814952286,56
1710814952294,66
1710814952302,83
1710814952309,95
1710814952317,110
1710814952325,122
1710814952332,125
1710814952340,130
1710814952348,139
1710814952355,139
1710814952363,144
1710814952371,159
1710814952377,169
1710814952385,174
1710814952393,191
1710814952401,215
1710814952409,223
1710814952417,223
1710814952424,220
1710814952432,213
1710814952440,206
1710814952448,191
1710814952455,157
1710814952463,127
1710814952471,100
1710814952478,66
1710814952486,49
1710814952494,46
1710814952501,31
1710814952509,4
1710814952517,-2
